Unnamed: 0,date,lat,lon,chla_mean,chla_uncertainty,lake_surface_water_temperature,lswt_quality_level,lswt_uncertainty,turbidity_mean,turbidity_uncertainty,r
331946,2002-05-23,51.87083333333334,105.05416666666666,1.2774134,56.13945,276.5,5.0,0.418,0.58856344,58.20625,2.3548201433933733
331945,2002-05-23,51.87083333333334,105.04583333333332,1.2774134,56.13945,,,,0.58856344,58.20625,2.877079483162866
331944,2002-05-23,51.87083333333334,105.0375,1.1647377,56.384796,,,,0.626045,58.325005,3.415336988573572
331943,2002-05-23,51.87083333333334,105.02916666666668,1.1647377,56.384796,,,,0.626045,58.325005,3.9630794898208843
331942,2002-05-23,51.87083333333334,105.02083333333331,1.2960424,56.704597,276.36,4.0,0.26200002,1.6856029,59.1876,4.516857667773556
331947,2002-05-23,51.87083333333334,105.0625,1.3125672,55.95196,276.5,5.0,0.418,0.5579014,58.088432,1.8620691306143276
331941,2002-05-23,51.87083333333334,105.0125,1.2960424,56.704597,,,,1.6856029,59.1876,5.074695964177803
331948,2002-05-23,51.87083333333334,105.07083333333334,1.3125672,55.95196,276.38,5.0,0.43100002,0.5579014,58.088432,1.429670240999927
331957,2002-05-23,51.87083333333334,105.14583333333331,1.4518659,55.601963,276.37,5.0,0.44400004,0.42325342,57.89494,4.3229385507162394
331950,2002-05-23,51.87083333333334,105.0875,1.4427738,55.527367,276.38,5.0,0.43100002,0.5219679,57.814632,1.0774340813563477
331949,2002-05-23,51.87083333333334,105.07916666666668,1.4427738,55.527367,276.38,5.0,0.43100002,0.5219679,57.814632,1.1292229978203898
331959,2002-05-23,51.87083333333334,105.1625,1.1344743,55.34833,276.37,5.0,0.44400004,0.37463772,61.23489,5.439327165112774
331956,2002-05-23,51.87083333333334,105.1375,1.2801169,54.96249,276.46,5.0,0.44700003,0.3431557,60.7771,3.770988497726067
331955,2002-05-23,51.87083333333334,105.12916666666666,1.2801169,54.96249,276.46,5.0,0.44700003,0.3431557,60.7771,3.2260568279664885
331954,2002-05-23,51.87083333333334,105.12083333333334,1.3846471,54.693695,276.41,5.0,0.43800002,0.3531792,60.51058,2.692408398639392
331953,2002-05-23,51.87083333333334,105.1125,1.3846471,54.693695,276.41,5.0,0.43800002,0.3531792,60.51058,2.178351503936837
331952,2002-05-23,51.87083333333334,105.10416666666669,1.1285433,55.28298,276.44998,5.0,0.42100003,0.36156052,61.159138,1.7017342797797221
331951,2002-05-23,51.87083333333334,105.09583333333332,1.1465738,55.30623,276.44998,5.0,0.42100003,0.36082342,61.178795,1.3042683244175814
331958,2002-05-23,51.87083333333334,105.15416666666668,1.1511285,55.266323,276.37,5.0,0.44400004,0.34785452,61.157574,4.879525897942969
331831,2002-05-23,51.86250000000001,105.1625,1.5317416,55.45341,276.25,5.0,0.44700003,0.3333035,57.843475,5.69358556271417
331829,2002-05-23,51.86250000000001,105.14583333333331,1.4518659,55.601963,276.32,5.0,0.44500002,0.42325342,57.89494,4.63857896259541
331688,2002-05-23,51.85416666666666,105.1375,1.2003876,55.19258,276.18,5.0,0.448,0.32087266,61.054836,4.646848702308349
331689,2002-05-23,51.85416666666666,105.14583333333331,1.5475113,55.32846,276.3,5.0,0.453,0.4138352,57.70523,5.105125060472602
331690,2002-05-23,51.85416666666666,105.15416666666668,1.5475113,55.32846,276.32,5.0,0.44500002,0.4138352,57.70523,5.58445836893655
331812,2002-05-23,51.86250000000001,105.00416666666666,0.8512264,57.679108,275.97,5.0,0.26200002,1.4377666,59.422646,5.8812112426521574
331813,2002-05-23,51.86250000000001,105.0125,0.8843043,57.067993,277.00998,4.0,0.42000002,0.54051083,58.68932,5.346257129376818
331814,2002-05-23,51.86250000000001,105.02083333333331,0.8843043,57.067993,277.00998,4.0,0.42000002,0.54051083,58.68932,4.819848328474305
331828,2002-05-23,51.86250000000001,105.1375,1.2003876,55.19258,276.34,5.0,0.44700003,0.32087266,61.054836,4.12893975720578
331827,2002-05-23,51.86250000000001,105.12916666666666,1.0950224,55.28353,276.34,5.0,0.44700003,0.3092724,61.14813,3.6379287237873705
331826,2002-05-23,51.86250000000001,105.12083333333334,1.0950224,55.28353,276.35,5.0,0.439,0.3092724,61.14813,3.174202338279477
331825,2002-05-23,51.86250000000001,105.1125,1.3519545,54.758213,276.35,5.0,0.439,0.34869274,60.591164,2.751590233832054
331824,2002-05-23,51.86250000000001,105.10416666666669,1.3519545,54.758213,276.41998,5.0,0.43400002,0.34869274,60.591164,2.391984620329116
331823,2002-05-23,51.86250000000001,105.09583333333332,1.1465738,55.30623,276.41998,5.0,0.43400002,0.36082342,61.178795,2.1275773394752067
331830,2002-05-23,51.86250000000001,105.15416666666668,1.5317416,55.45341,276.32,5.0,0.44500002,0.3333035,57.843475,5.161331142420099
331822,2002-05-23,51.86250000000001,105.0875,1.1465738,55.30623,276.41998,5.0,0.43400002,0.36082342,61.178795,1.9965554250389816
331820,2002-05-23,51.86250000000001,105.07083333333334,1.5399565,55.51015,276.34,5.0,0.432,0.45364025,57.82943,2.2066920943562907
331819,2002-05-23,51.86250000000001,105.0625,1.3259937,55.753838,276.36,5.0,0.41900003,0.46004787,57.9149,2.5086048297757206
331818,2002-05-23,51.86250000000001,105.05416666666666,1.1125251,56.30369,276.36,5.0,0.41900003,0.49479687,58.261124,2.8933302057956727
331817,2002-05-23,51.86250000000001,105.04583333333332,1.1125251,56.30369,276.71,4.0,0.42100003,0.49479687,58.261124,3.33230767419247
331816,2002-05-23,51.86250000000001,105.0375,1.1647377,56.384796,276.71,4.0,0.42100003,0.626045,58.325005,3.8068152599415925
331815,2002-05-23,51.86250000000001,105.02916666666668,0.9036429,56.943638,277.00998,4.0,0.42000002,0.53148115,58.61825,4.30512062536631
331821,2002-05-23,51.86250000000001,105.07916666666668,1.5399565,55.51015,276.38,5.0,0.43100002,0.45364025,57.82943,2.0249778073760956
332209,2002-05-23,51.88749999999999,105.14583333333331,1.2794541,55.21856,,,,0.50960124,61.13117,4.264079454100909
332210,2002-05-23,51.88749999999999,105.15416666666668,1.2209753,55.072426,276.75,4.0,0.43800002,0.4054251,60.91944,4.827261176023936
332211,2002-05-23,51.88749999999999,105.1625,1.2209753,55.072426,276.75,4.0,0.43800002,0.4054251,60.91944,5.392292321643662
332212,2002-05-23,51.88749999999999,105.17083333333332,1.2737589,54.88601,276.4,5.0,0.44200003,0.3465314,60.69633,5.958646790744463
332323,2002-05-23,51.89583333333334,105.07916666666668,1.213089,56.502575,,,,0.7742503,58.546898,1.7614183200773375
332324,2002-05-23,51.89583333333334,105.12083333333334,1.5435212,56.322903,,,,1.4748611,58.97253,3.0121738870843524
332325,2002-05-23,51.89583333333334,105.12916666666666,1.5435212,56.322903,,,,1.4748611,58.97253,3.4971152687045466
332326,2002-05-23,51.89583333333334,105.1375,1.2794541,55.21856,,,,0.50960124,61.13117,4.0050726451666625
332208,2002-05-23,51.88749999999999,105.1375,1.2794541,55.21856,,,,0.50960124,61.13117,3.7035909516564094
331687,2002-05-23,51.85416666666666,105.12916666666666,1.0950224,55.28353,276.18,5.0,0.448,0.3092724,61.14813,4.2165007138697375
332207,2002-05-23,51.88749999999999,105.12916666666666,1.5435212,56.322903,276.6,5.0,0.43500003,1.4748611,58.97253,3.1472349068490075
332206,2002-05-23,51.88749999999999,105.12083333333334,1.3201903,55.110558,276.6,5.0,0.43500003,0.464735,61.043087,2.597667897539244
332205,2002-05-23,51.88749999999999,105.1125,1.4575874,55.678272,276.6,5.0,0.43500003,0.6161649,58.004604,2.0603297841787254
332072,2002-05-23,51.87916666666666,105.0375,1.575865,55.75014,,,,0.88710904,58.16848,3.248766100935392
332073,2002-05-23,51.87916666666666,105.04583333333332,1.575865,55.75014,,,,0.88710904,58.16848,2.677343539409844
332074,2002-05-23,51.87916666666666,105.05416666666666,1.2774134,56.13945,276.78,5.0,0.42400002,0.58856344,58.20625,2.106244604229774
